Transaction_ID,Amount,Hour,Customer_Age,Previous_Transactions,Distance_From_Last_Transaction,Device_Changed,International,Fraud
TX_000162,3163.37,21,28,67,936.42,0,0,0
TX_000163,3169.48,14,32,91,927.02,0,0,0
TX_000164,2681.19,19,63,52,667.55,0,0,0
TX_000165,456.0,22,34,34,726.68,0,0,0
TX_000166,4177.34,8,51,62,513.21,0,0,0
TX_000167,1607.3,2,67,21,237.84,0,0,0
TX_000168,936.66,2,65,24,914.39,0,1,0
TX_000169,208.67,1,29,44,277.69,0,0,0
TX_000170,2956.51,0,59,41,739.67,0,0,0
TX_000171,3389.43,13,45,29,245.44,0,0,0
TX_000172,87.86,16,65,6,870.15,1,0,0
TX_000173,2562.9,12,52,56,651.24,0,0,0
TX_000174,1136.35,18,25,14,642.7,0,0,0
TX_000175,3227.64,22,44,50,97.37,0,0,0
TX_000176,875.96,14,39,78,419.47,1,0,0
TX_000177,3456.23,13,71,52,524.91,1,0,0
TX_000178,1936.74,1,74,88,294.04,0,0,0
TX_000179,4683.97,6,41,77,880.97,0,0,0
TX_000180,691.92,16,19,1,837.67,0,0,0
TX_000181,1708.63,17,48,12,493.62,1,0,0
TX_000182,571.8,5,39,24,340.03,0,0,0
TX_000183,4623.84,20,18,37,801.54,0,0,0
TX_000184,4387.31,7,78,84,196.89,1,1,1
TX_000185,1293.42,1,31,70,71.52,0,0,0
TX_000186,3301.62,0,42,76,45.71,0,0,0
TX_000187,4087.02,15,53,85,38.68,0,0,0
TX_000188,2778.23,6,53,3,488.89,0,0,0
TX_000189,2650.6,21,58,27,255.31,0,0,0
TX_000190,1213.05,23,20,53,690.38,0,0,0
TX_000191,470.05,10,22,17,653.89,0,0,0
TX_000192,4486.59,14,18,15,542.02,0,0,0
TX_000193,4502.59,12,71,39,352.84,0,0,0
TX_000194,3167.34,23,36,4,850.46,0,1,0
TX_000195,1698.45,1,50,17,709.7,0,0,0
TX_000196,1749.3,13,59,11,271.53,0,0,0
TX_000197,3631.15,23,71,12,501.69,0,1,0
TX_000198,4486.07,5,47,32,156.27,0,0,0
TX_000199,4436.0,8,29,27,328.78,0,0,0
TX_000200,3900.48,6,27,44,997.14,0,0,0
TX_000201,3211.95,17,51,43,223.84,0,0,0
TX_000202,425.28,23,33,91,698.3,1,0,0
TX_000203,812.34,8,57,49,238.42,0,0,0
TX_000204,4493.28,22,63,93,938.13,0,0,0
TX_000205,3034.11,3,46,73,310.13,0,0,0
TX_000206,50.94,8,32,43,346.69,0,0,0
TX_000207,511.85,3,65,3,593.86,1,0,0
TX_000208,3319.19,11,28,29,588.11,0,0,0
TX_000209,30.28,3,61,85,579.08,0,0,0
TX_000210,808.24,23,51,35,573.25,1,0,0
TX_000211,2745.93,19,53,48,312.19,0,0,0
TX_000212,3461.02,13,47,74,434.41,0,0,0
TX_000213,3261.55,23,52,87,593.43,0,0,0
TX_000214,1125.23,23,26,39,671.27,0,0,0
TX_000215,3562.34,6,35,89,253.13,0,0,0
TX_000216,1190.06,12,36,24,701.48,1,0,0
TX_000217,1630.37,21,56,20,923.28,0,1,0
TX_000218,3733.72,7,21,15,757.93,0,0,0
TX_000219,3249.92,22,23,85,84.23,1,0,0
TX_000220,4246.87,4,68,76,469.13,0,1,0
TX_000221,3289.78,11,50,18,435.26,0,0,0
TX_000222,2843.7,12,49,60,336.5,1,0,0
TX_000223,472.91,19,33,87,491.32,0,0,0
TX_000224,1841.74,13,28,93,439.63,0,0,0
TX_000225,1329.69,17,39,41,6.17,1,0,0
TX_000226,1223.73,23,53,69,236.56,0,0,0
TX_000227,4865.19,19,67,90,213.78,0,0,0
TX_000228,1968.52,3,40,75,349.26,0,0,0
TX_000229,4460.77,20,43,11,174.46,0,0,0
TX_000230,3157.54,17,78,56,67.8,1,0,0
TX_000231,3975.08,6,77,18,196.61,0,0,0
TX_000232,2515.67,14,48,12,854.19,0,0,0
TX_000233,2886.63,20,46,16,797.04,0,0,0
TX_000234,2465.13,5,22,27,442.1,0,0,0
TX_000235,980.24,15,71,17,877.82,0,0,0
TX_000236,3613.65,19,55,85,232.67,0,1,0
TX_000237,1407.46,23,79,31,584.21,0,0,0
TX_000238,126.46,7,42,35,142.92,0,0,0
TX_000239,3229.13,20,77,27,833.4,0,0,0
TX_000240,889.67,15,51,87,130.58,0,0,0
TX_000241,4702.59,21,29,32,31.86,0,0,0
TX_000242,4769.87,15,39,17,273.44,0,0,0
TX_000243,4574.75,2,26,11,900.94,0,1,1
TX_000244,1853.94,16,77,1,129.46,0,0,0
TX_000245,82.21,8,37,92,330.67,0,0,0
TX_000246,4641.95,2,46,82,316.41,0,0,0
TX_000247,2143.78,19,61,49,801.65,0,0,0
TX_000248,4833.44,6,46,41,421.53,0,0,0
TX_000249,4818.28,17,62,20,611.57,0,0,0
TX_000250,4265.78,11,44,71,404.38,0,0,0
TX_000251,1475.77,18,71,37,551.46,0,0,0
TX_000252,1928.56,15,72,16,62.44,0,0,0
TX_000253,4256.43,21,34,39,374.03,0,0,0
TX_000254,1588.03,23,22,45,855.11,0,0,0
TX_000255,851.62,16,69,64,691.07,0,0,0
TX_000256,2786.22,19,62,47,981.83,0,0,0
TX_000257,4681.09,14,78,23,787.92,1,0,1
TX_000258,3481.67,0,30,32,451.51,0,0,0
TX_000259,2852.46,1,59,49,676.28,0,0,0
TX_000260,490.4,7,32,81,775.91,0,0,0
TX_000261,3076.96,21,32,19,269.68,0,0,0
TX_000262,4950.32,1,35,98,60.02,0,0,0
TX_000263,704.72,18,67,78,405.85,1,0,0
TX_000264,2594.06,8,19,67,144.67,1,0,0
TX_000265,4387.48,8,40,39,277.24,0,0,0
TX_000266,3705.14,12,60,89,946.85,0,0,0
TX_000267,3486.59,5,30,60,847.08,0,0,0
TX_000268,3513.91,14,60,11,592.46,0,0,0
TX_000269,1800.66,18,21,49,401.26,1,0,0
TX_000270,1471.49,20,64,15,264.33,0,0,0
TX_000271,4047.76,14,71,83,571.46,0,0,0
TX_000272,4051.52,17,72,61,533.16,0,0,0
TX_000273,4336.03,6,42,43,780.78,0,0,0
TX_000274,4566.64,10,28,15,928.02,0,0,0
TX_000275,2559.16,7,67,79,328.94,0,1,0
TX_000276,2510.07,5,65,79,206.3,1,0,0
TX_000277,3992.48,7,59,73,402.8,0,0,0
TX_000278,3251.57,1,29,5,437.54,0,0,0
TX_000279,3511.32,18,30,83,39.87,0,0,0
TX_000280,3979.98,15,26,88,861.7,0,0,0
TX_000281,4450.58,6,76,29,995.59,1,0,1
TX_000282,1693.29,9,70,62,923.21,0,0,0
TX_000283,1881.04,11,62,60,860.66,1,0,0
TX_000284,474.44,16,55,69,992.6,0,0,0
TX_000285,2893.51,6,23,22,907.81,0,0,0
TX_000286,184.53,21,60,13,688.37,0,0,0
TX_000287,2330.66,7,68,50,166.76,0,0,0
TX_000288,2715.51,6,76,47,156.35,0,0,0
TX_000289,1436.27,3,60,29,48.78,0,0,0
TX_000290,2956.21,2,27,80,411.83,0,0,0
TX_000291,157.35,18,40,17,808.82,0,0,0
TX_000292,191.55,14,32,20,490.3,0,0,0
TX_000293,4113.89,3,62,78,366.32,0,0,0
TX_000294,1804.15,8,40,6,109.24,1,0,0
TX_000295,639.67,12,57,22,51.75,0,1,0
TX_000296,2613.61,17,54,9,399.18,0,0,0
TX_000297,3851.12,20,51,32,99.93,1,1,0
TX_000298,1083.03,15,33,88,103.55,0,0,0
TX_000299,3116.34,0,62,33,395.35,0,0,0
TX_000300,431.31,3,68,77,502.84,1,0,0
TX_000301,263.15,17,58,99,186.68,0,0,0
TX_000302,2659.12,7,64,70,684.64,0,0,0
TX_000303,2705.47,19,49,49,418.69,0,0,0
TX_000304,3188.96,15,55,30,91.92,0,0,0
TX_000305,3631.83,20,57,16,637.03,0,0,0
TX_000306,4879.38,10,73,65,356.94,0,0,0
TX_000307,2583.92,19,63,82,52.32,0,0,0
TX_000308,1618.17,20,22,86,947.98,0,1,0
TX_000309,3976.96,20,34,90,571.2,1,0,0
TX_000310,1357.81,20,39,14,477.72,0,0,0
TX_000311,2197.66,18,56,56,859.14,0,0,0
TX_000312,396.89,22,58,37,936.74,1,0,0
TX_000313,131.63,18,65,49,220.32,0,0,0
TX_000314,4813.43,17,35,78,810.14,0,0,0
TX_000315,4180.72,18,45,90,831.08,0,0,0
TX_000316,3481.39,10,30,50,54.4,0,0,0
TX_000317,2047.72,2,67,36,711.94,0,1,0
TX_000318,870.61,7,59,52,62.97,0,0,0
TX_000319,786.4,19,18,23,594.67,0,0,0
TX_000320,1254.96,18,70,66,669.24,1,0,0
TX_000321,2748.39,9,67,71,367.06,0,0,0
TX_000322,3574.41,15,36,45,880.79,0,0,0
TX_000323,3302.69,4,51,86,800.51,1,0,1
TX_000324,1403.27,19,76,28,925.96,0,0,0
TX_000325,4774.55,8,21,20,314.89,0,0,0
TX_000326,3690.8,7,60,49,21.53,0,0,0
TX_000327,2774.0,10,20,57,811.46,0,0,0
TX_000328,3060.55,15,58,82,222.98,1,0,0
TX_000329,2100.9,6,27,88,467.16,0,0,0
TX_000330,1242.42,14,45,97,817.32,0,0,0
TX_000331,1783.08,23,51,59,216.14,0,0,0
TX_000332,3790.44,20,56,26,311.91,1,0,0
TX_000333,76.9,19,64,19,439.08,0,0,0
TX_000334,584.78,22,76,13,271.82,0,0,0
TX_000335,234.78,16,79,74,461.32,0,0,0
TX_000336,208.44,5,36,62,9.6,0,0,0
TX_000337,4278.03,14,59,14,212.19,1,0,0
TX_000338,3519.77,7,73,73,832.55,0,0,0
TX_000339,2373.5,6,69,11,413.48,0,0,0
TX_000340,493.68,1,63,67,636.41,1,1,0
TX_000341,2460.62,12,53,12,232.29,0,0,0
TX_000342,2369.99,22,74,35,649.88,0,1,0
TX_000343,870.14,5,60,39,999.97,1,0,0
TX_000344,2172.09,4,20,32,595.29,0,0,0
TX_000345,1995.53,19,40,14,628.36,1,0,0
TX_000346,3081.17,0,34,65,111.52,0,0,0
TX_000347,3177.29,17,24,27,403.38,0,0,0
TX_000348,231.29,14,43,60,860.72,0,0,0
TX_000349,1876.19,22,60,43,834.27,1,0,0
TX_000350,3131.17,9,35,65,522.4,0,0,0
TX_000351,2518.17,2,77,55,903.45,0,1,0
TX_000352,4283.17,4,63,93,142.94,0,1,0
TX_000353,3295.17,23,63,88,658.19,0,0,0
TX_000354,818.86,12,23,81,248.88,0,0,0
TX_000355,357.49,7,48,35,645.56,0,0,0
TX_000356,3213.88,21,46,95,87.4,0,0,0
TX_000357,137.42,20,26,32,943.61,0,0,0
TX_000358,2930.95,1,71,19,786.33,0,0,0
TX_000359,4701.45,8,52,95,200.96,0,0,0
TX_000360,2879.49,16,34,39,637.28,0,0,0
TX_000361,1943.91,17,77,20,759.15,1,1,0
TX_000362,3218.22,12,29,28,209.45,0,0,0
TX_000363,2293.97,0,53,3,93.33,0,0,0
TX_000364,2730.36,11,69,32,351.78,0,0,0
TX_000365,4707.62,19,65,86,135.75,1,0,0
TX_000366,1933.58,19,78,58,565.71,0,0,0
TX_000367,4806.15,20,41,54,424.11,1,0,0
TX_000368,4527.23,4,27,42,462.42,0,1,1
TX_000369,982.98,7,75,15,542.86,0,0,0
TX_000370,351.46,14,47,83,982.05,0,1,0
TX_000371,508.39,2,46,62,792.64,0,0,0
TX_000372,96.02,5,56,31,629.47,0,1,0
TX_000373,476.74,12,27,61,363.71,0,0,0
TX_000374,3416.62,11,56,26,27.07,0,0,0
TX_000375,360.59,18,72,69,116.53,0,0,0
TX_000376,1598.28,17,45,57,730.87,0,0,0
TX_000377,4225.15,23,35,20,369.2,0,0,0
TX_000378,121.24,0,58,66,334.44,0,0,0
TX_000379,4073.27,6,71,21,888.98,0,0,0
TX_000380,1412.86,11,67,60,484.51,0,1,0
TX_000381,595.23,9,34,63,899.58,0,0,0
TX_000382,3485.2,11,28,51,886.64,0,0,0
TX_000383,3146.57,10,18,92,80.18,0,0,0
TX_000384,4387.97,3,34,84,945.36,0,0,0
TX_000385,3676.68,18,53,39,76.95,0,0,0
TX_000386,4018.39,5,53,11,963.51,0,0,0
TX_000387,1413.76,8,63,57,452.61,0,0,0
TX_000388,891.31,19,77,3,760.86,0,0,0
TX_000389,3754.32,9,26,37,706.14,0,0,0
TX_000390,4035.14,4,62,84,518.49,0,1,0
TX_000391,4952.57,12,77,96,619.45,0,0,0
TX_000392,2066.03,8,45,25,949.92,0,0,0
TX_000393,1863.23,1,65,21,927.35,0,0,0
TX_000394,3883.18,17,50,80,654.33,1,0,0
TX_000395,1707.31,20,20,42,657.72,0,0,0
TX_000396,4654.13,0,68,1,246.94,1,0,1
TX_000397,4292.77,23,25,23,828.62,0,0,0
TX_000398,2147.83,20,67,24,632.6,1,0,0
TX_000399,3755.6,11,23,47,826.25,0,1,0
TX_000400,3773.94,9,76,89,657.85,0,0,0
TX_000401,520.1,1,69,7,299.32,0,0,0
TX_000402,4513.25,8,78,38,189.48,0,0,0
TX_000403,2528.74,1,75,47,76.97,0,0,0
TX_000404,4133.16,22,23,35,585.99,0,0,0
TX_000405,1603.65,23,46,78,284.05,0,0,0
TX_000406,4478.14,21,54,62,630.51,0,0,0
TX_000407,1949.06,13,29,73,58.66,0,0,0
TX_000408,59.13,10,26,3,375.66,0,0,0
TX_000409,4527.38,22,58,20,260.55,0,0,0
TX_000410,460.98,10,66,97,370.33,0,0,0
TX_000411,1599.97,16,36,44,54.28,0,0,0
TX_000412,4750.56,3,34,32,724.18,0,0,0
TX_000413,4753.28,12,71,26,116.7,0,0,0
TX_000414,2869.32,6,65,48,14.4,0,0,0
TX_000415,3161.03,15,61,5,946.29,0,1,0
TX_000416,2244.99,0,49,59,192.88,0,0,0
TX_000417,1469.59,12,52,61,828.06,0,0,0
TX_000418,1646.68,0,31,49,964.47,0,0,0
TX_000419,3364.23,10,66,30,534.12,0,0,0
TX_000420,3763.11,5,71,17,526.12,0,0,0
TX_000421,3958.94,19,33,70,367.42,0,0,0
TX_000422,3949.14,2,38,58,425.59,0,0,0
TX_000423,460.57,11,29,63,482.08,0,0,0
TX_000424,2474.63,4,77,61,152.09,0,0,0
TX_000425,292.51,8,41,63,364.74,0,0,0
TX_000426,2749.9,11,79,15,816.11,0,0,0
TX_000427,2210.44,9,51,1,182.4,1,0,0
TX_000428,4439.08,18,25,13,729.85,0,0,0
TX_000429,1757.82,4,61,48,651.59,0,0,0
TX_000430,589.75,4,38,34,57.3,0,0,0
TX_000431,719.24,8,65,30,22.43,0,0,0
TX_000432,3808.75,19,25,19,352.53,0,0,0
TX_000433,3093.0,16,45,64,692.17,1,1,1
TX_000434,510.11,9,33,66,330.42,0,1,0
TX_000435,425.11,20,27,57,667.73,0,0,0
TX_000436,3506.34,0,69,44,665.46,0,0,0
TX_000437,368.45,21,32,12,806.55,0,0,0
TX_000438,4110.19,15,21,40,99.49,1,0,0
TX_000439,3532.68,14,43,24,577.13,0,0,0
TX_000440,411.34,22,32,11,62.5,0,0,0
TX_000441,428.76,16,53,66,175.95,0,0,0
TX_000442,4933.26,19,49,1,325.5,1,0,0
TX_000443,1874.48,12,79,58,707.39,1,0,0
TX_000444,1856.36,0,60,28,973.88,0,0,0
TX_000445,4064.93,7,55,68,342.52,0,0,0
TX_000446,4736.51,4,21,94,521.14,0,0,0
TX_000447,4930.08,5,58,59,259.06,0,0,0
TX_000448,3768.12,22,26,71,675.49,1,0,0
TX_000449,1884.42,19,52,22,366.59,0,0,0
TX_000450,422.09,13,72,90,481.6,0,0,0
TX_000451,3886.85,21,45,29,567.81,0,0,0
TX_000452,2794.23,22,54,89,686.24,0,0,0
TX_000453,2123.99,10,64,74,60.05,0,0,0
TX_000454,4532.24,5,77,84,554.9,0,0,0
TX_000455,560.43,10,26,78,431.16,0,0,0
TX_000456,2465.66,12,19,97,133.77,0,0,0
TX_000457,61.71,11,20,69,208.04,0,0,0
TX_000458,2345.96,21,75,45,883.89,0,0,0
TX_000459,286.23,1,70,70,871.78,0,0,0
TX_000460,598.5,20,61,86,33.33,0,0,0
TX_000461,592.04,2,65,17,689.4,0,0,0
TX_000462,3247.81,22,22,79,554.19,0,0,0
TX_000463,3731.49,3,27,39,939.82,0,0,0
TX_000464,2918.93,16,45,40,908.01,0,1,0
TX_000465,4811.05,21,32,28,579.56,0,0,0
TX_000466,1877.48,5,31,2,138.95,0,0,0
TX_000467,1432.13,6,63,82,459.82,0,0,0
TX_000468,4343.65,14,40,27,725.16,0,1,0
TX_000469,1121.86,10,30,21,951.74,1,0,0
TX_000470,4816.3,23,33,87,363.83,0,0,0
TX_000471,65.71,2,47,7,784.67,0,0,0
TX_000472,4849.54,5,57,61,683.34,0,1,0
TX_000473,220.58,1,25,52,78.29,0,0,0
TX_000474,4456.26,13,79,48,557.98,0,0,0
TX_000475,2640.87,8,34,19,183.51,1,1,0
TX_000476,4964.86,17,47,73,683.55,0,0,0
TX_000477,373.61,18,34,12,610.08,0,0,0
TX_000478,2771.5,11,52,94,973.05,1,0,0
TX_000479,4846.67,12,18,71,935.38,0,0,0
TX_000480,2617.87,11,66,2,9.37,0,0,0
TX_000481,3148.85,11,75,17,80.03,0,0,0
TX_000482,3480.26,17,41,75,769.13,0,0,0
TX_000483,2275.43,8,65,76,685.64,0,0,0
TX_000484,3139.65,16,66,3,800.95,1,0,0
TX_000485,2923.65,20,42,21,266.81,0,0,0
TX_000486,4506.28,15,19,78,849.32,0,1,0
TX_000487,232.0,16,42,79,442.42,1,0,0
TX_000488,1408.41,20,31,51,261.91,0,0,0
TX_000489,4752.31,23,56,10,10.61,0,1,0
TX_000490,4451.87,7,74,55,871.36,0,0,0
TX_000491,2281.01,10,68,36,535.34,0,0,0
TX_000492,3102.56,23,50,51,975.38,0,0,0
TX_000493,1390.52,1,34,74,714.68,0,0,0
TX_000494,944.67,7,76,17,80.42,0,0,0
TX_000495,2321.17,11,48,89,588.19,0,0,0
TX_000496,1769.99,20,27,61,17.12,0,0,0
TX_000497,2920.36,0,23,91,557.78,0,0,0
TX_000498,393.28,22,56,97,350.2,0,0,0
TX_000499,4872.1,12,42,75,643.3,1,0,1
TX_000500,4931.12,21,55,13,541.57,0,1,0
TX_000501,3492.32,20,54,65,261.35,0,0,0
TX_000502,2682.8,16,47,95,162.35,0,0,0
TX_000503,1551.09,13,51,97,404.71,0,0,0
TX_000504,4069.91,13,35,85,986.84,0,0,0
TX_000505,3425.23,15,41,80,435.7,0,0,0
TX_000506,817.27,16,66,87,748.79,0,0,0
TX_000507,4555.08,5,73,74,56.97,0,0,0
TX_000508,4113.57,6,44,48,378.87,0,0,0
TX_000509,4749.25,0,75,97,580.32,0,0,0
TX_000510,3629.97,14,44,86,751.2,0,0,0
TX_000511,3069.01,19,72,70,528.38,0,0,0
TX_000512,2094.12,20,56,47,515.3,0,0,0
TX_000513,4663.98,17,38,10,763.91,0,0,0
TX_000514,4330.99,12,36,57,313.29,0,0,0
TX_000515,230.87,23,56,80,90.61,0,0,0
TX_000516,136.7,1,40,13,347.15,0,0,0
TX_000517,1885.43,18,56,61,159.0,0,1,0
TX_000518,4053.71,14,65,58,965.94,0,1,0
